URL,Texto,H1,H2,H3,H4,H5,H6,H7
https://en.wikipedia.org/wiki/Chill-out_music,Chill-out,Electronic,Chill-out,,,,,
https://en.wikipedia.org/wiki/Downtempo,Downtempo,Electronic,Chill-out,,Downtempo,,,
https://en.wikipedia.org/wiki/Psybient,Psybient,Electronic,Chill-out,,Psybient,,,
https://en.wikipedia.org/wiki/Psydub,Psydub,Electronic,Chill-out,,Psybient,Psydub,,
https://en.wikipedia.org/wiki/Trip_hop,Trip hop,Electronic,Chill-out,,Trip hop,,,
https://en.wikipedia.org/wiki/Disco,Disco,Electronic,Disco,,,,,
https://en.wikipedia.org/wiki/Afro/cosmic_music,Afro/cosmic music,Electronic,Disco,,Afro/cosmic music,,,
https://en.wikipedia.org/wiki/Electro-disco,Electro-disco,Electronic,Disco,,Electro-disco,,,
https://en.wikipedia.org/wiki/Hi-NRG,Hi-NRG,Electronic,Disco,,Electro-disco,Hi-NRG,,
https://en.wikipedia.org/wiki/Eurobeat,Eurobeat,Electronic,Disco,,Electro-disco,Hi-NRG,Eurobeat,
https://en.wikipedia.org/wiki/Eurodance,Eurodance,Electronic,Disco,,Electro-disco,Hi-NRG,Eurodance,
https://en.wikipedia.org/wiki/Italo_dance,Italo dance,Electronic,Disco,,Electro-disco,Hi-NRG,Eurodance,Italo dance
https://en.wikipedia.org/wiki/Italo_disco,Italo disco,Electronic,Disco,,Electro-disco,Italo disco,,
https://en.wikipedia.org/wiki/Spacesynth,Spacesynth,Electronic,Disco,,Electro-disco,Italo disco,Spacesynth,
https://en.wikipedia.org/wiki/Space_disco,Space disco,Electronic,Disco,,Electro-disco,Space disco,,
https://en.wikipedia.org/wiki/Eurodisco,Eurodisco,Electronic,Disco,,Eurodisco,,,
https://en.wikipedia.org/wiki/Nu-disco,Nu-disco,Electronic,Disco,,Nu-disco,,,
https://en.wikipedia.org/wiki/Post-disco,Post-disco,Electronic,Disco,,Post-disco,,,
https://en.wikipedia.org/wiki/Boogie_(genre),Boogie,Electronic,Disco,,Post-disco,Boogie,,
https://en.wikipedia.org/wiki/City_pop,City pop,Electronic,Disco,,Post-disco,City pop,,
https://en.wikipedia.org/wiki/Drum_and_bass,Drum and bass,Electronic,Drum and bass,,,,,
https://en.wikipedia.org/wiki/Darkstep,Darkstep,Electronic,Drum and bass,,Darkstep,,,
https://en.wikipedia.org/wiki/Drumfunk,Drumfunk,Electronic,Drum and bass,,Drumfunk,,,
https://en.wikipedia.org/wiki/Drumstep,Drumstep,Electronic,Drum and bass,,Drumstep,,,
https://en.wikipedia.org/wiki/Hardstep,Hardstep,Electronic,Drum and bass,,Hardstep,,,
https://en.wikipedia.org/wiki/Intelligent_drum_and_bass,Intelligent drum and bass,Electronic,Drum and bass,,Intelligent drum and bass,,,
https://en.wikipedia.org/wiki/Jump-up_(drum_and_bass),Jump-up,Electronic,Drum and bass,,Jump-up,,,
https://en.wikipedia.org/wiki/Liquid_funk,Liquid funk,Electronic,Drum and bass,,Liquid funk,,,
https://en.wikipedia.org/wiki/Neurofunk,Neurofunk,Electronic,Drum and bass,,Neurofunk,,,
https://en.wikipedia.org/wiki/Sambass,Sambass,Electronic,Drum and bass,,Sambass,,,
https://en.wikipedia.org/wiki/Techstep,Techstep,Electronic,Drum and bass,,Techstep,,,
https://en.wikipedia.org/wiki/Dub_music,Dub,Electronic,Dub,,,,,
https://en.wikipedia.org/wiki/Dub_poetry,Dub poetry,Electronic,Dub,,Dub poetry,,,
https://en.wikipedia.org/wiki/Dubtronica,Dubtronica,Electronic,Dub,,Dubtronica,,,
https://en.wikipedia.org/wiki/Electronic_rock,Electronic rock,Electronic,Electronic rock,,,,,
https://en.wikipedia.org/wiki/Dance-rock,Dance-rock,Electronic,Electronic rock,,Dance-rock,,,
https://en.wikipedia.org/wiki/Alternative_dance,Alternative dance,Electronic,Electronic rock,,Dance-rock,Alternative dance,,
https://en.wikipedia.org/wiki/Baggy,Baggy (Madchester),Electronic,Electronic rock,,Dance-rock,Alternative dance,Baggy (Madchester),
https://en.wikipedia.org/wiki/New_rave,New rave,Electronic,Electronic rock,,Dance-rock,Alternative dance,New rave,
https://en.wikipedia.org/wiki/Dance-punk,Dance-punk,Electronic,Electronic rock,,Dance-rock,Dance-punk,,
https://en.wikipedia.org/wiki/Dance-pop,Dance-pop,Electronic,Electronic rock,,Electronic pop,Dance-pop,,
https://en.wikipedia.org/wiki/Freestyle_music,Freestyle,Electronic,Electronic rock,,Electronic pop,Dance-pop,Freestyle,
https://en.wikipedia.org/wiki/Disco_polo,Disco polo,Electronic,Electronic rock,,Electronic pop,Dance-pop,Disco polo,
